Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
WR,Davante Adams,8000,GB,25.6,20.9
WR,Calvin Ridley,7800,ATL,22.82,18.5
QB,Lamar Jackson,7700,BAL,20.15,21.9
RB,Aaron Jones,7600,GB,26.22,18.6
QB,Aaron Rodgers,7500,GB,27.52,19.6
WR,Adam Thielen,7300,MIN,22.18,19.7
RB,Derrick Henry,7300,TEN,19.2,19.5
RB,Alexander Mattison,7200,MIN,8.92,17.8
RB,James Conner,7100,PIT,17.5,17.2
RB,Mike Davis,7000,CAR,18.12,19.8
QB,Deshaun Watson,7000,HOU,21.87,19.7
RB,Kareem Hunt,6900,CLE,17.6,18.4
WR,Mike Evans,6900,TB,18.22,16.8
RB,James Robinson,6800,JAX,18.12,17.4
WR,Will Fuller V,6800,HOU,15.84,15.4
WR,Julio Jones,6700,ATL,13.1,15.0
QB,Ben Roethlisberger,6700,PIT,21.21,18.5
RB,Miles Sanders,6600,PHI,17.32,16.8
QB,Matt Ryan,6600,ATL,17.84,17.7
WR,JuJu Smith-Schuster,6600,PIT,14.95,15.6
WR,Marquise Brown,6500,BAL,12.6,15.1
TE,Mark Andrews,6500,BAL,14.04,14.9
QB,Tom Brady,6500,TB,21.52,18.9
QB,Cam Newton,6500,NE,25.49,19.7
RB,Jonathan Taylor,6400,IND,14.88,16.3
WR,Odell Beckham Jr,6400,CLE,16.46,15.1
WR,Chris Godwin,6400,TB,15.65,14.8
WR,DeVante Parker,6300,MIA,14.78,15.2
QB,Matthew Stafford,6300,DET,19.04,19.5
WR,DJ Chark Jr,6300,JAX,14.5,11.8
WR,Robby Anderson,6300,CAR,20.24,16.5
RB,Joe Mixon,6200,CIN,17.74,17.0
WR,Kenny Golladay,6200,DET,16.95,17.4
WR,Jamison Crowder,6100,NYJ,25.5,16.2
QB,Kirk Cousins,6100,MIN,15.36,17.9
WR,Justin Jefferson,6000,MIN,13.62,14.4
QB,Teddy Bridgewater,6000,CAR,19.94,15.3
