,Name,Projected Points
219,Robert Woods,16.6
220,DK Metcalf,16.1
221,Adam Thielen,16.0
222,DeVante Parker,16.0
223,DJ Moore,15.9
224,Mike Evans,15.8
225,Kenny Golladay,15.6
226,Julian Edelman,15.5
227,Michael Thomas,15.3
228,Odell Beckham Jr,15.3
229,Tyler Boyd,15.3
230,Terry McLaurin,15.1
231,Davante Adams,14.9
232,Will Fuller V,14.5
233,Julio Jones,13.9
234,Justin Jefferson,13.4
235,Marquise Brown,13.4
236,TY Hilton,13.4
237,Michael Gallup,13.2
238,Robby Anderson,13.2
239,Jarvis Landry,13.0
240,Jamison Crowder,12.7
241,Darius Slayton,12.6
242,Marvin Jones Jr,12.5
243,Cole Beasley,12.2
244,Brandin Cooks,12.2
245,CeeDee Lamb,12.2
246,Jerry Jeudy,12.2
247,AJ Green,12.0
248,Curtis Samuel,11.4
249,Hunter Renfrow,11.4
250,DJ Chark Jr,11.2
251,Russell Gage,11.0
252,Keelan Cole,11.0
253,Brandon Aiyuk,10.9
254,Golden Tate,10.9
255,Emmanuel Sanders,10.9
256,Sammy Watkins,10.6
257,Preston Williams,10.4
258,Greg Ward,10.4
259,N'Keal Harry,10.3
260,Laviska Shenault Jr,10.3
261,Marquez Valdes-Scantling,10.2
262,Kendrick Bourne,10.1
263,Tre'Quan Smith,9.8
264,Tee Higgins,9.7
265,John Brown,9.5
266,Scotty Miller,9.5
267,Danny Amendola,9.1
268,Randall Cobb,9.1
269,Anthony Miller,8.9
270,Zach Pascal,8.8
271,Braxton Berrios,8.7
272,KJ Hamler,8.7
273,Larry Fitzgerald,8.6
274,Isaiah Ford,8.4
275,Christian Kirk,8.2
276,Mike Williams,8.1
277,DeSean Jackson,7.5
278,Damiere Byrd,7.4
279,Tim Patrick,7.3
280,Nelson Agholor,7.1
281,Mecole Hardman,7.0
282,Dontrelle Inman,6.9
283,Miles Boykin,6.6
284,Darnell Mooney,6.6
285,John Hightower,6.6
286,Andy Isabella,6.5
287,Chris Hogan,6.4
288,Josh Reynolds,6.4
289,Chris Conley,6.4
290,Willie Snead IV,6.2
291,Olamide Zaccheaus,6.1
292,Justin Watson,6.0
293,Cordarrelle Patterson,5.9
294,Gabriel Davis,5.8
295,David Moore,5.7
296,Steven Sims,5.6
297,Kenny Stills,5.5
298,Alshon Jeffery,5.3
299,Daurice Fountain,5.1
300,Demarcus Robinson,5.1
301,Deontay Burnett,5.1
302,Cedrick Wilson,5.0
303,Henry Ruggs III,5.0
304,CJ Board,4.9
305,Zay Jones,4.9
306,Isaiah Wright,4.9
307,Van Jefferson,4.9
308,Jalen Guyton,4.7
309,KhaDarel Hodge,4.5
310,Deonte Harris,4.5
311,KeeSean Johnson,4.2
312,Jakeem Grant,4.2
313,Auden Tate,4.1
314,Deebo Samuel,3.9
315,Olabisi Johnson,3.9
316,Brandon Powell,3.8
317,Trent Taylor,3.8
318,Darrius Shepherd,3.8
319,Mike Thomas,3.7
320,Seth Roberts,3.7
321,Devin Duvernay,3.7
322,Dezmon Patmon,3.5
323,Damion Ratley,3.5
324,Chad Beebe,3.5
325,Cyril Grayson Jr,3.4
326,Mohamed Sanu,3.3
327,Dede Westbrook,3.3
328,Freddie Swain,3.1
329,Lawrence Cager,3.0
330,Ted Ginn Jr,2.9
331,Javon Wims,2.8
332,Josh Malone,2.8
333,Isaiah McKenzie,2.8
334,Collin Johnson,2.7
335,KJ Hill,2.7
336,Ashton Dulin,2.7
337,Antonio Gandy-Golden,2.7
338,JJ Arcega-Whiteside,2.5
339,Tyler Johnson,2.5
340,Jeff Smith,2.5
341,Noah Brown,2.2
342,DaeSean Hamilton,2.2
343,John Ross,2.2
344,Joe Reed,2.1
345,Donovan Peoples-Jones,2.1
346,Quintez Cephus,2.0
347,Malik Taylor,2.0
348,Jakobi Meyers,2.0
349,Hakeem Butler,1.7
350,Marquez Callaway,1.5
351,Jamal Agnew,1.4
352,Keke Coutee,1.3
353,Marvin Hall,1.2
354,Diontae Spencer,1.1
355,DeAndre Carter,1.1
356,Bennie Fowler III,1.0
357,Christian Blake,1.0
358,Lynn Bowden Jr,0.9
359,Marcus Johnson,0.8
360,Gunner Olszewski,0.8
361,Rico Gafford,0.8
362,Penny Hart,0.8
363,Tajae Sharpe,0.8
364,Rashard Higgins,0.8
365,Brandon Zylstra,0.7
366,Dan Chisena,0.7
367,Byron Pringle,0.7
368,Tyrie Cleveland,0.6
369,Dante Pettis,0.6
370,KJ Osborn,0.6
371,James Proche,0.6
372,Cam Sims,0.5
373,Jaydon Mickens,0.5
374,Chad Williams,0.5
375,Isaiah Zuber,0.5
376,Alex Erickson,0.4
377,Marcus Kemp,0.4
378,Chris Moore,0.3
379,Pharoh Cooper,0.3
380,Nsimba Webster,0.3
381,Mack Hollins,0.3
382,Andre Roberts,0.3
383,Robert Foster,0.3
384,Chris Thompson,0.2
385,Matthew Slater,0.2
386,Trent Sherfield,0.2
387,Cody Core,0.1
388,Ventell Bryant,0.1
389,Keith Kirkwood,0.1
390,Ishmael Hyman,0.1
391,Stanley Morgan Jr,0.1
392,Malik Turner,0.1
393,Steven Mitchell Jr,0.1
394,Chad Hansen,0.1
395,Riley Ridley,0.1
396,John Ursua,0.1
397,Austin Carr,0.1
398,Gehrig Dieter,0.1
399,Devin Smith,0.1
400,Alexander Hollins,0.1
401,Jason Moore,0.1
402,Lil'Jordan Humphrey,0.0
403,Shelton Gibson,0.0
404,Richie James Jr,0.0
405,Johnny Holton,0.0
406,Travis Kelce,16.8
407,Darren Waller,15.4
408,Mark Andrews,14.0
409,Zach Ertz,13.8
410,George Kittle,12.9
411,Mike Gesicki,12.7
412,Hunter Henry,12.7
413,Noah Fant,12.3
414,Tyler Higbee,11.4
415,TJ Hockenson,10.4
416,Evan Engram,10.4
417,Hayden Hurst,10.0
418,Jared Cook,9.7
419,Austin Hooper,8.9
420,Logan Thomas,8.5
421,Jimmy Graham,8.4
422,Rob Gronkowski,8.3
423,Chris Herndon,8.1
424,Dalton Schultz,7.9
425,OJ Howard,7.4
426,Mo Alie-Cox,7.1
427,Robert Tonyan,7.1
428,Tyler Eifert,7.1
429,Jordan Akins,7.0
430,Greg Olsen,7.0
431,Drew Sample,6.5
432,Kyle Rudolph,5.5
433,Darren Fells,5.5
434,Dan Arnold,5.4
435,Jack Doyle,5.4
436,Dawson Knox,4.8
437,Ian Thomas,4.8
438,Irv Smith Jr,4.4
439,Harrison Bryant,4.3
440,Ryan Izzo,4.1
441,James O'Shaughnessy,4.1
442,Gerald Everett,4.0
443,Kaden Smith,3.8
444,Jace Sternberger,3.8
445,Foster Moreau,3.7
446,Will Dissly,3.6
447,Nick Boyle,3.6
448,Tyler Kroft,3.4
449,Marcedes Lewis,3.2
450,Ryan Griffin,3.2
451,Jesse James,3.1
452,Richard Rodgers,3.0
453,Jacob Hollister,2.8
454,Ross Dwelley,2.7
455,Demetrius Harris,2.7
456,Adam Trautman,2.7
457,Josh Hill,2.6
458,Jason Witten,2.6
459,Taysom Hill,2.4
460,Jake Butt,2.4
461,Blake Bell,2.3
462,Brycen Hopkins,2.2
463,Durham Smythe,2.1
464,Virgil Green,2.0
465,Hunter Bryant,2.0
466,Devin Asiasi,1.9
467,Andrew Beck,1.9
468,Chris Manhertz,1.9
469,Daniel Helm,1.8
470,Darrell Daniels,1.8
471,Cole Kmet,1.8
472,Luke Stocker,1.7
473,Josiah Deguara,1.6
474,Adam Shaheen,1.6
475,Noah Togiai,1.5
476,Lee Smith,1.5
477,Cethan Carter,1.4
478,Nick Vannett,1.4
479,Cameron Brate,1.3
480,Levine Toilolo,1.3
481,Donald Parham Jr,1.3
482,Jaeden Graham,1.3
483,Charlie Woerner,1.2
484,Albert Okwuegbunam,1.2
485,Nick Keizer,1.2
486,Farrod Green,1.2
487,Stephen Carlson,1.1
488,Marcus Baugh,1.1
489,Luke Willson,1.1
490,Sean McKeon,1.0
491,Tyler Conklin,1.0
492,Trey Burton,0.9
493,Hakeem Butler,0.9
494,Trevon Wesco,0.9
495,Jordan Thomas,0.8
496,Jakob Johnson,0.8
497,Jeremy Sprinkle,0.8
498,Stephen Anderson,0.7
499,Derek Carrier,0.7
500,JP Holtz,0.6
501,John Lovett,0.6
502,Reggie Gilliam,0.5
503,Johnny Mundt,0.5
504,Pharaoh Brown,0.5
505,Ricky Seals-Jones,0.4
506,Patrick Scales,0.4
507,Deon Yelder,0.3
508,Mason Schreck,0.2
509,Zach Wood,0.2
510,Isaac Nauta,0.2
511,Cole Hikutini,0.2
512,Eric Saubert,0.1
513,Tommy Sweeney,0.1
514,Troy Fumagalli,0.1
515,Jesper Horsted,0.1
516,Antony Auclair,0.1
517,Temarrick Hemingway,0.1
518,Xavier Grimble,0.1
519,Jordan Franks,0.0
520,Daniel Brown,0.0
521,Tanner Hudson,0.0
522,Ravens ,8.9
523,Rams ,8.6
524,Buccaneers ,8.5
525,49ers ,8.0
526,Broncos ,7.5
527,Bears ,7.0
528,Seahawks ,6.7
529,Eagles ,6.7
530,Panthers ,6.6
531,Vikings ,6.6
532,Packers ,6.5
533,Chiefs ,6.5
534,Cardinals ,6.5
535,Jets ,6.4
536,Saints ,6.4
537,Colts ,6.4
538,Cowboys ,6.3
539,Jaguars ,6.3
540,Raiders ,6.2
541,Texans ,6.0
542,Browns ,6.0
543,Bills ,6.0
544,Dolphins ,5.8
545,Team ,5.8
546,Bengals ,5.7
547,Patriots ,5.4
548,Chargers ,5.4
549,Falcons ,5.2
550,Giants ,5.2
551,Lions ,4.7
