Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
WR,Laviska Shenault Jr,4500,JAX,11.6,11.6
WR,Sammy Watkins,4500,KC,11.02,11.9
WR,Tim Patrick,4400,DEN,12.98,10.5
QB,Alex Smith,4400,WAS,0.0,1.0
QB,John Wolford,4400,LAR,0.0,0.7
QB,Logan Woodside,4400,TEN,0.0,0.7
RB,Zack Moss,4400,BUF,7.7,5.9
QB,Mike Glennon,4400,JAX,0.0,0.7
QB,Marcus Mariota,4400,LV,0.0,0.7
WR,Mecole Hardman,4400,KC,9.92,8.2
RB,Damien Harris,4300,NE,13.0,9.8
WR,N'Keal Harry,4300,NE,9.95,9.5
QB,Ryan Finley,4300,CIN,0.0,0.8
RB,JK Dobbins,4300,BAL,8.1,7.0
RB,Nyheim Hines,4300,IND,11.25,9.0
RB,Phillip Lindsay,4200,DEN,4.5,7.8
DST,Patriots ,4200,NE,9.0,10.0
WR,Andy Isabella,4200,ARI,7.78,6.7
QB,Jalen Hurts,4200,PHI,0.87,2.5
RB,Matt Breida,4200,MIA,3.82,4.1
WR,Kendrick Bourne,4200,SF,8.18,7.6
QB,Colt McCoy,4200,NYG,0.0,0.8
RB,Dion Lewis,4200,NYG,5.38,5.3
QB,Case Keenum,4200,CLE,0.0,0.7
TE,Mo Alie-Cox,4200,IND,11.35,7.8
QB,Chris Streveler,4100,ARI,0.1,0.8
DST,Cardinals ,4100,ARI,5.0,6.5
QB,Kyle Allen,4100,WAS,0.0,13.0
WR,Chase Claypool,4100,PIT,9.3,5.6
RB,Giovani Bernard,4100,CIN,6.18,5.7
WR,Brandin Cooks,4100,HOU,5.95,9.8
QB,Chad Henne,4100,KC,0.0,0.7
WR,Preston Williams,4100,MIA,6.22,7.9
QB,Andy Dalton,4100,DAL,0.0,0.9
TE,Austin Hooper,4100,CLE,6.9,8.8
RB,JJ Taylor,4000,NE,2.8,1.2
RB,Jakob Johnson,4000,NE,2.18,0.5
RB,Jakob Johnson,4000,NE,2.18,0.8
RB,Royce Freeman,4000,DEN,3.22,3.6
RB,LeVante Bellamy,4000,DEN,0.0,0.2
QB,James Morgan,4000,NYJ,0.0,1.1
RB,Frank Gore,4000,NYJ,5.12,6.4
RB,Eno Benjamin,4000,ARI,0.0,1.5
RB,Kalen Ballage,4000,NYJ,5.67,1.6
RB,Ty Johnson,4000,NYJ,0.0,0.9
WR,Breshad Perriman,4000,NYJ,3.95,3.2
RB,Trenton Cannon,4000,CAR,0.0,3.6
RB,Alex Armah,4000,CAR,0.68,1.9
RB,Brian Hill,4000,ATL,6.95,6.1
RB,Ito Smith,4000,ATL,2.82,3.4
RB,Qadree Ollison,4000,ATL,0.0,1.4
RB,Keith Smith,4000,ATL,1.0,1.2
RB,JD McKissic,4000,WAS,6.25,8.1
RB,Peyton Barber,4000,WAS,4.02,2.8
RB,Cam Akers,4000,LAR,3.3,5.5
RB,Xavier Jones,4000,LAR,0.0,0.2
RB,Raymond Calais,4000,LAR,0.0,0.2
WR,Josh Reynolds,4000,LAR,5.62,6.0
DST,Rams ,4000,LAR,6.5,8.3
RB,Darrynton Evans,4000,TEN,0.9,3.6
RB,Jeremy McNichols,4000,TEN,0.73,1.5
RB,Senorise Perry,4000,TEN,0.45,0.4
RB,Khari Blasingame,4000,TEN,0.5,2.3
RB,TJ Yeldon,4000,BUF,0.9,2.5
RB,Taiwan Jones,4000,BUF,0.0,0.4
WR,Adam Humphries,4000,TEN,11.53,4.2
QB,Nate Sudfeld,4000,PHI,0.0,0.7
RB,Benny Snell Jr,4000,PIT,5.17,3.6
RB,Anthony McFarland Jr,4000,PIT,5.9,3.5
RB,Jaylen Samuels,4000,PIT,0.93,2.0
RB,Boston Scott,4000,PHI,3.82,4.7
RB,Corey Clement,4000,PHI,1.3,3.3
RB,Jason Huntley,4000,PHI,0.1,0.3
RB,Adrian Killins Jr,4000,PHI,0.0,0.6
TE,Eric Ebron,4000,PIT,8.77,9.3
RB,Gus Edwards,4000,BAL,4.18,5.1
RB,Justice Hill,4000,BAL,0.0,1.4
RB,Patrick Ricard,4000,BAL,1.98,1.7
RB,Samaje Perine,4000,CIN,0.0,1.0
RB,Trayveon Williams,4000,CIN,0.0,0.8
WR,Miles Boykin,4000,BAL,5.28,6.7
QB,Jake Luton,4000,JAX,0.0,0.7
RB,Chris Thompson,4000,JAX,5.78,6.0
WR,Chris Thompson,3000,SF,0.0,6.0
RB,Dare Ogunbowale,4000,JAX,0.0,1.4
RB,Devine Ozigbo,4000,JAX,0.0,5.3
RB,Bruce Miller,4000,JAX,0.3,0.4
RB,CJ Prosise,4000,HOU,0.03,1.9
RB,Buddy Howell,4000,HOU,0.0,0.3
RB,Cullen Gillaspia,4000,HOU,0.8,0.1
RB,Ryquell Armstead,4000,JAX,0.0,1.8
RB,Jalen Richard,4000,LV,4.98,5.1
RB,Devontae Booker,4000,LV,3.2,3.0
RB,Theo Riddick,4000,LV,1.3,1.5
RB,Alec Ingold,4000,LV,3.85,2.2
RB,Darrel Williams,4000,KC,2.52,4.5
RB,Darwin Thompson,4000,KC,0.55,2.3
RB,Anthony Sherman,4000,KC,1.92,1.1
RB,JaMycal Hasty,4000,SF,1.4,1.5
RB,Kyle Juszczyk,4000,SF,3.1,3.7
RB,Jordan Howard,4000,MIA,5.02,2.9
RB,Patrick Laird,4000,MIA,0.72,0.9
RB,Chandler Cox,4000,MIA,0.32,0.4
RB,Elijhaa Penny,4000,NYG,0.0,0.7
RB,Tony Pollard,4000,DAL,4.45,4.6
RB,Rico Dowdle,4000,DAL,0.0,0.7
QB,Jacob Eason,4000,IND,0.0,0.2
RB,Jordan Wilkins,4000,IND,3.4,4.5
RB,Dontrell Hilliard,4000,CLE,3.1,3.6
RB,Andy Janovich,4000,CLE,0.82,1.3
DST,Ravens ,3900,BAL,10.75,8.1
WR,Larry Fitzgerald,3800,ARI,5.7,7.7
DST,Steelers ,3800,PIT,9.33,8.4
WR,Demarcus Robinson,3800,KC,2.7,4.0
WR,Dontrelle Inman,3700,WAS,8.38,8.4
WR,Willie Snead IV,3700,BAL,6.92,5.5
TE,Drew Sample,3700,CIN,5.5,6.7
DST,49ers ,3700,SF,6.75,8.0
WR,Braxton Berrios,3600,NYJ,8.58,5.7
TE,Dawson Knox,3600,BUF,3.93,4.9
DST,Bills ,3600,BUF,5.25,6.8
WR,Kenny Stills,3600,HOU,5.5,6.7
WR,Nelson Agholor,3600,LV,7.95,6.7
TE,Logan Thomas,3500,WAS,7.3,7.8
DST,Chiefs ,3500,KC,9.75,6.4
WR,Isaiah Ford,3500,MIA,7.52,8.6
TE,David Njoku,3500,CLE,14.0,2.7
DST,Broncos ,3400,DEN,4.75,6.6
TE,Ian Thomas,3400,CAR,3.5,5.6
WR,Gabriel Davis,3400,BUF,8.22,5.0
TE,Tyler Eifert,3400,JAX,5.42,6.6
TE,Darren Fells,3400,HOU,4.58,5.4
WR,Chris Conley,3300,JAX,6.05,6.0
TE,Jordan Akins,3300,HOU,9.2,6.8
WR,Trent Taylor,3300,SF,2.18,3.5
TE,Jack Doyle,3300,IND,3.37,5.2
DST,Colts ,3300,IND,13.0,6.6
TE,Dan Arnold,3200,ARI,4.68,5.3
TE,Chris Herndon,3200,NYJ,4.35,7.4
WR,Kalif Raymond,3200,TEN,5.83,6.6
