Pos,DK salary,DK points
DST,0.0,5.4
DST,1500.0,4.0
DST,1600.0,4.0
DST,1700.0,3.8333333333333335
DST,1800.0,3.0
DST,1900.0,0.5714285714285714
DST,2000.0,4.7407407407407405
DST,2100.0,4.621951219512195
DST,2200.0,5.894736842105263
DST,2300.0,5.700934579439252
DST,2400.0,6.8316831683168315
DST,2500.0,5.530973451327434
DST,2600.0,7.427184466019417
DST,2700.0,8.313131313131313
DST,2800.0,7.141304347826087
DST,2900.0,8.22340425531915
DST,3000.0,7.132530120481928
DST,3100.0,7.537313432835821
DST,3200.0,7.91044776119403
DST,3300.0,8.125
DST,3400.0,9.153846153846153
DST,3500.0,10.653061224489797
DST,3600.0,8.357142857142858
DST,3700.0,12.655172413793103
DST,3800.0,9.851851851851851
DST,3900.0,8.263157894736842
DST,4000.0,11.380952380952381
DST,4100.0,12.0
DST,4200.0,7.0
DST,4300.0,9.571428571428571
DST,4400.0,25.0
DST,4500.0,8.666666666666666
QB,0.0,14.306250000000002
QB,4000.0,3.027872340425533
QB,4100.0,4.17
QB,4200.0,2.3715384615384614
QB,4300.0,4.664878048780488
QB,4400.0,6.77855072463768
QB,4500.0,6.104489795918368
QB,4600.0,10.028275862068968
QB,4700.0,10.740750000000004
QB,4800.0,12.785454545454545
QB,4900.0,12.453939393939393
QB,5000.0,14.45754385964912
QB,5100.0,14.3046875
QB,5200.0,15.460312500000006
QB,5300.0,17.432727272727274
QB,5400.0,17.670980392156867
QB,5500.0,16.677931034482764
QB,5600.0,17.546562500000004
QB,5700.0,18.971935483870972
QB,5800.0,18.35878787878788
QB,5900.0,19.941492537313422
QB,6000.0,19.038378378378376
QB,6100.0,20.393999999999995
QB,6200.0,18.144482758620697
QB,6300.0,20.75015873015873
QB,6400.0,20.14610169491525
QB,6500.0,19.983137254901962
QB,6600.0,19.623181818181823
QB,6700.0,20.968108108108105
QB,6800.0,21.306111111111118
QB,6900.0,19.7408
QB,7000.0,20.669999999999998
QB,7100.0,24.914666666666665
QB,7200.0,18.8975
QB,7300.0,19.996
QB,7400.0,22.791428571428575
QB,7500.0,22.69111111111111
QB,7600.0,22.711428571428574
QB,7700.0,30.279999999999994
