Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points,dk_pos_sal_avg_points
RB,Ezekiel Elliott,8300,DAL,25.45,20.7,21.05
WR,DeAndre Hopkins,7900,ARI,26.45,21.5,18.07826086956522
RB,Derrick Henry,7800,TEN,13.75,17.7,20.42105263157895
RB,Dalvin Cook,7600,MIN,19.45,17.8,17.6
RB,Josh Jacobs,7300,LV,24.7,16.9,18.431578947368426
QB,Russell Wilson,7300,SEA,34.6,22.9,19.996
WR,Calvin Ridley,7200,ATL,34.9,18.7,17.979999999999997
QB,Dak Prescott,7200,DAL,30.72,21.4,18.8975
WR,Stefon Diggs,7000,BUF,24.45,16.0,15.404651162790696
RB,Jonathan Taylor,7000,IND,18.45,17.7,14.676923076923076
WR,Adam Thielen,6900,MIN,20.05,16.2,16.52976744186046
RB,Nick Chubb,6900,CLE,17.95,15.0,15.310526315789472
QB,Josh Allen,6900,BUF,35.33,20.2,19.7408
RB,Austin Ekeler,6800,LAC,14.25,17.9,20.841666666666672
QB,Kyler Murray,6800,ARI,30.22,23.6,21.30611111111112
WR,Mike Evans,6800,TB,16.8,15.2,15.559148936170214
QB,Cam Newton,6700,NE,32.14,22.6,20.968108108108105
RB,James Conner,6700,PIT,13.4,15.8,16.47826086956522
WR,Chris Godwin,6700,TB,13.9,15.8,15.594339622641506
QB,Matt Ryan,6600,ATL,28.21,18.5,19.623181818181823
WR,JuJu Smith-Schuster,6600,PIT,18.35,15.2,17.131363636363638
RB,Chris Carson,6600,SEA,22.2,16.6,12.928571428571427
QB,Deshaun Watson,6500,HOU,18.76,18.3,19.98313725490196
WR,Amari Cooper,6500,DAL,18.55,17.5,16.06758620689655
RB,Miles Sanders,6400,PHI,21.1,18.8,14.527586206896553
QB,Ben Roethlisberger,6400,PIT,22.15,18.1,20.14610169491525
WR,Tyler Lockett,6400,SEA,18.45,16.7,16.17924528301887
WR,Odell Beckham Jr.,6300,CLE,11.3,14.4,12.881269841269846
WR,Cooper Kupp,6300,LAR,11.0,14.7,12.881269841269846
QB,Matthew Stafford,6300,DET,17.17,18.1,20.75015873015873
WR,Julian Edelman,6200,NE,20.95,16.2,11.572075471698113
WR,Allen Robinson II,6200,CHI,9.3,16.3,11.572075471698113
WR,Kenny Golladay,6200,DET,0.0,14.1,11.572075471698113
