Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
WR,Davante Adams,8800,GB,27.72,23.1
RB,Alvin Kamara,8200,NO,28.9,22.9
QB,Patrick Mahomes,8100,KC,25.78,24.0
RB,Derrick Henry,8000,TEN,22.57,20.6
QB,Russell Wilson,7800,SEA,32.55,23.1
QB,Aaron Rodgers,7600,GB,23.86,21.1
RB,Dalvin Cook,7500,MIN,24.06,19.1
WR,DK Metcalf,7500,SEA,18.48,17.0
QB,Lamar Jackson,7400,BAL,22.0,20.1
RB,Aaron Jones,7300,GB,23.6,15.8
WR,Michael Thomas,7300,NO,4.7,11.9
WR,Adam Thielen,7200,MIN,20.83,17.3
WR,Tyler Lockett,7100,SEA,24.53,18.9
QB,Josh Allen,7000,BUF,26.73,20.2
TE,George Kittle,7000,SF,19.64,18.0
QB,Justin Herbert,6900,LAC,27.76,18.7
WR,AJ Brown,6900,TEN,20.8,16.6
RB,Kareem Hunt,6900,CLE,16.41,20.6
QB,Ryan Tannehill,6800,TEN,23.97,19.3
WR,Stefon Diggs,6800,BUF,19.33,17.3
WR,Tyreek Hill,6700,KC,16.61,17.6
RB,Jonathan Taylor,6600,IND,14.98,16.2
WR,Kenny Golladay,6600,DET,17.95,16.8
QB,Ben Roethlisberger,6600,PIT,18.57,15.4
WR,Tyler Boyd,6600,CIN,17.32,16.8
TE,Travis Kelce,6600,KC,17.44,17.4
WR,Justin Jefferson,6500,MIN,18.45,15.0
RB,Clyde Edwards-Helaire,6500,KC,16.36,15.4
QB,Jared Goff,6500,LAR,19.94,17.2
WR,Cooper Kupp,6500,LAR,13.71,15.4
QB,Matthew Stafford,6400,DET,18.48,16.7
RB,James Conner,6400,PIT,17.38,14.3
QB,Drew Brees,6300,NO,20.45,16.3
RB,Joe Mixon,6300,CIN,17.27,10.8
WR,Robert Woods,6300,LAR,14.43,15.5
WR,Keenan Allen,6200,LAC,18.18,18.1
QB,Joe Burrow,6200,CIN,22.0,18.6
RB,Josh Jacobs,6200,LV,16.43,16.3
RB,Chris Carson,6200,SEA,17.5,6.3
RB,Jamaal Williams,6100,GB,10.42,11.2
WR,Marquise Brown,6100,BAL,12.12,12.4
QB,Baker Mayfield,6100,CLE,16.04,16.3
QB,Kirk Cousins,6000,MIN,17.75,15.8
RB,Alexander Mattison,6000,MIN,8.1,6.0
QB,Philip Rivers,5900,IND,15.32,15.9
RB,David Montgomery,5900,CHI,13.24,14.3
QB,Nick Foles,5800,CHI,13.89,14.4
TE,Mark Andrews,5800,BAL,12.38,13.2
RB,Giovani Bernard,5800,CIN,8.36,12.1
WR,Jamison Crowder,5800,NYJ,22.08,10.0
WR,Brandon Aiyuk,5800,SF,12.65,14.0
QB,Cam Newton,5700,NE,19.95,17.4
WR,DeVante Parker,5700,MIA,13.4,13.7
RB,Jerick McKinnon,5700,SF,10.53,13.1
WR,Tee Higgins,5600,CIN,13.03,14.4
WR,Jarvis Landry,5600,CLE,10.33,14.7
TE,Darren Waller,5600,LV,15.75,15.9
QB,Tua Tagovailoa,5600,MIA,0.36,14.6
QB,Ryan Fitzpatrick,5600,MIA,22.65,0.9
WR,Diontae Johnson,5500,PIT,12.92,12.5
QB,Derek Carr,5500,LV,21.06,18.1
WR,JuJu Smith-Schuster,5400,PIT,13.32,11.7
QB,Jimmy Garoppolo,5400,SF,13.32,16.2
RB,D'Andre Swift,5300,DET,14.45,13.3
TE,TJ Hockenson,5300,DET,12.27,10.2
QB,Drew Lock,5300,DEN,8.34,12.8
QB,Jarrett Stidham,5300,NE,3.28,0.6
WR,Cole Beasley,5300,BUF,14.86,13.0
RB,Carlos Hyde,5300,SEA,8.48,9.5
QB,Mitchell Trubisky,5200,CHI,17.37,0.8
WR,Chase Claypool,5200,PIT,15.4,11.1
RB,Myles Gaskin,5200,MIA,14.2,14.3
WR,Corey Davis,5100,TEN,15.02,10.9
RB,Devin Singletary,5100,BUF,10.17,11.3
QB,Brett Rypien,5000,DEN,7.65,0.8
RB,Phillip Lindsay,5000,DEN,8.5,5.8
QB,Jameis Winston,5000,NO,0.0,0.9
QB,CJ Beathard,5000,SF,6.14,0.7
RB,JaMycal Hasty,5000,SF,3.7,9.2
WR,TY Hilton,4900,IND,7.37,10.7
RB,Joshua Kelley,4900,LAC,8.65,9.2
WR,Emmanuel Sanders,4900,NO,14.28,4.6
TE,Mike Gesicki,4900,MIA,10.18,8.8
RB,Justin Jackson,4800,LAC,7.35,10.2
WR,Jerry Jeudy,4800,DEN,8.93,10.2
QB,Sam Darnold,4800,NYJ,12.04,11.3
WR,Sammy Watkins,4800,KC,10.9,6.9
WR,Tim Patrick,4700,DEN,12.73,9.1
TE,Noah Fant,4700,DEN,12.34,9.6
WR,Tre'Quan Smith,4700,NO,9.47,8.7
WR,Nelson Agholor,4700,LV,11.87,10.0
WR,Mecole Hardman,4700,KC,7.96,7.4
RB,Malcolm Brown,4700,LAR,9.09,5.7
TE,Jimmy Graham,4600,CHI,10.63,8.8
RB,JK Dobbins,4600,BAL,7.63,7.7
QB,Ryan Finley,4600,CIN,0.0,0.8
QB,Marcus Mariota,4600,LV,0.0,1.0
RB,Le'Veon Bell,4600,KC,6.07,10.2
QB,Jacoby Brissett,4500,IND,0.34,0.6
WR,Zach Pascal,4500,IND,7.97,8.9
WR,AJ Green,4500,CIN,8.39,12.2
RB,James White,4500,NE,9.42,9.5
QB,Joe Flacco,4500,NYJ,6.96,0.7
DST,Chiefs ,4500,KC,9.29,9.1
TE,Tyler Higbee,4500,LAR,10.03,8.4
WR,Mike Williams,4400,LAC,9.86,10.4
TE,Jared Cook,4400,NO,10.36,10.8
RB,Gus Edwards,4400,BAL,4.63,5.8
RB,Zack Moss,4400,BUF,6.65,6.9
WR,John Brown,4400,BUF,9.08,8.2
QB,Sean Mannion,4300,MIN,0.0,0.2
TE,Robert Tonyan,4300,GB,11.83,9.8
RB,Latavius Murray,4300,NO,8.87,7.9
WR,Anthony Miller,4300,CHI,7.26,7.4
RB,Cam Akers,4300,LAR,3.18,3.1
WR,Preston Williams,4300,MIA,9.72,9.1
WR,Marvin Jones Jr,4200,DET,7.93,9.8
TE,Hunter Henry,4200,LAC,10.02,12.1
QB,Logan Woodside,4200,TEN,0.0,0.6
QB,Case Keenum,4200,CLE,1.84,0.6
WR,Rashard Higgins,4200,CLE,8.46,10.0
RB,Damien Harris,4200,NE,8.43,9.4
QB,Chase Daniel,4100,DET,0.0,0.8
QB,Tyrod Taylor,4100,LAC,9.02,0.9
QB,Tim Boyle,4100,GB,-0.1,0.5
QB,Taysom Hill,4100,NO,2.84,3.5
QB,Taysom Hill,4100,NO,2.84,1.3
QB,Mason Rudolph,4100,PIT,-0.06,0.8
TE,Jonnu Smith,4100,TEN,12.38,10.9
