Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
RB,Rex Burkhead,4000,NE,10.86,6.8
RB,JJ Taylor,4000,NE,2.8,1.0
RB,Jakob Johnson,4000,NE,2.18,1.4
RB,Jakob Johnson,4000,NE,2.18,0.9
RB,Trenton Cannon,4000,CAR,1.15,3.6
RB,Alex Armah,4000,CAR,0.48,1.4
RB,Dwayne Washington,4000,NO,0.0,0.1
RB,Ty Montgomery,4000,NO,2.05,0.9
RB,Michael Burton,4000,NO,0.38,1.0
WR,Tre'Quan Smith,4000,NO,9.48,7.5
QB,Matt Barkley,4000,BUF,0.88,0.8
QB,Jake Fromm,4000,BUF,0.0,0.1
RB,Ty Johnson,4000,NYJ,2.1,3.0
RB,TJ Yeldon,4000,BUF,5.4,2.4
RB,Taiwan Jones,4000,BUF,0.0,0.6
QB,David Blough,4000,DET,0.0,1.0
RB,Kerryon Johnson,4000,DET,3.96,3.9
RB,Bo Scarbrough,4000,DET,0.0,0.4
RB,Brian Hill,4000,ATL,6.6,6.1
RB,Ito Smith,4000,ATL,2.57,3.2
RB,Qadree Ollison,4000,ATL,0.0,1.2
RB,Keith Smith,4000,ATL,0.9,0.9
RB,D'Ernest Johnson,4000,CLE,2.45,5.1
RB,Dontrell Hilliard,4000,CLE,3.0,2.3
RB,Andy Janovich,4000,CLE,0.74,1.3
RB,Samaje Perine,4000,CIN,0.0,1.4
RB,Trayveon Williams,4000,CIN,0.0,1.5
TE,Austin Hooper,4000,CLE,8.08,11.0
RB,Jamaal Williams,4000,GB,8.22,7.9
RB,AJ Dillon,4000,GB,1.3,2.6
RB,Tyler Ervin,4000,GB,2.98,1.6
RB,CJ Prosise,4000,HOU,0.03,2.0
RB,Buddy Howell,4000,HOU,0.0,0.1
RB,Cullen Gillaspia,4000,HOU,0.8,0.3
RB,Peyton Barber,4000,WAS,3.62,3.1
RB,Bryce Love,4000,WAS,0.0,0.8
RB,Rico Dowdle,4000,DAL,0.32,1.3
QB,Chris Streveler,4000,ARI,0.1,0.5
QB,Brett Hundley,4000,ARI,0.0,0.5
RB,Carlos Hyde,4000,SEA,5.77,4.0
RB,Travis Homer,4000,SEA,3.1,2.5
RB,DeeJay Dallas,4000,SEA,1.43,1.4
RB,Rashaad Penny,4000,SEA,0.0,0.9
RB,Nick Bellore,4000,SEA,0.0,0.3
RB,Eno Benjamin,4000,ARI,0.0,2.1
QB,Chad Henne,4000,KC,0.0,0.8
RB,Darrel Williams,4000,KC,4.35,2.6
RB,Darwin Thompson,4000,KC,0.98,1.5
RB,DeAndre Washington,4000,KC,0.0,1.2
RB,Anthony Sherman,4000,KC,1.92,0.9
RB,Royce Freeman,4000,DEN,3.38,3.3
RB,LeVante Bellamy,4000,DEN,0.0,0.1
QB,Ryan Griffin,4000,TB,0.0,4.1
TE,Ryan Griffin,2900,NYJ,1.54,4.1
RB,LeSean McCoy,4000,TB,3.2,3.1
RB,Ke'Shawn Vaughn,4000,TB,4.08,4.6
RB,Jalen Richard,4000,LV,5.38,5.5
RB,Devontae Booker,4000,LV,5.12,3.0
RB,Alec Ingold,4000,LV,3.98,2.3
QB,Jake Luton,4000,JAX,0.0,0.6
RB,Chris Thompson,4000,JAX,5.8,5.8
WR,Chris Thompson,3000,SF,0.0,5.8
RB,Dare Ogunbowale,4000,JAX,0.0,1.4
RB,Devine Ozigbo,4000,JAX,0.0,2.5
RB,Ryquell Armstead,4000,JAX,0.0,0.7
RB,Bruce Miller,4000,JAX,0.24,0.3
RB,Gabe Nabers,4000,LAC,0.38,1.1
RB,Gabe Nabers,4000,LAC,0.38,1.9
RB,Benny Snell Jr,4000,PIT,5.3,3.6
RB,Anthony McFarland Jr,4000,PIT,2.77,3.1
RB,Jaylen Samuels,4000,PIT,0.93,1.7
RB,Derek Watt,4000,PIT,0.0,0.6
RB,Jeremy McNichols,4000,TEN,2.9,4.6
RB,Senorise Perry,4000,TEN,0.45,0.1
TE,Eric Ebron,4000,PIT,7.5,9.5
WR,N'Keal Harry,3900,NE,7.96,8.6
DST,Patriots ,3900,NE,8.6,7.8
WR,Curtis Samuel,3900,CAR,8.72,8.4
TE,Dalton Schultz,3900,DAL,10.0,7.8
WR,Andy Isabella,3900,ARI,6.02,5.4
WR,Nelson Agholor,3900,LV,9.3,5.4
WR,Damiere Byrd,3800,NE,7.74,8.3
WR,Breshad Perriman,3700,NYJ,6.03,8.7
WR,Scotty Miller,3700,TB,9.66,7.3
DST,Buccaneers ,3700,TB,10.5,6.5
WR,Gabriel Davis,3600,BUF,7.57,5.0
WR,Dontrelle Inman,3600,WAS,7.3,7.6
TE,Greg Olsen,3600,SEA,7.0,7.1
WR,KJ Hamler,3600,DEN,4.83,5.0
TE,Logan Thomas,3500,WAS,7.3,7.5
WR,Tyler Johnson,3500,TB,4.45,4.1
DST,Steelers ,3500,PIT,10.8,6.6
WR,Kendrick Bourne,3400,SF,8.35,6.5
WR,Demarcus Robinson,3400,KC,4.98,7.5
DST,Chargers ,3400,LAC,5.0,7.4
DST,49ers ,3300,SF,5.0,6.4
TE,Dawson Knox,3300,BUF,3.58,4.7
WR,Danny Amendola,3300,DET,6.56,8.4
WR,Cedrick Wilson,3300,DAL,8.46,5.1
DST,Saints ,3200,NO,5.0,6.6
WR,Braxton Berrios,3200,NYJ,6.4,3.8
TE,Drew Sample,3200,CIN,4.37,5.1
TE,Jordan Akins,3200,HOU,9.2,3.7
WR,Jalen Guyton,3200,LAC,7.0,5.8
WR,Kalif Raymond,3200,TEN,5.66,4.4
TE,Tyler Kroft,3100,BUF,3.72,3.0
DST,Packers ,3100,GB,4.8,6.9
WR,David Moore,3100,SEA,8.1,6.1
WR,Trent Taylor,3000,SF,1.75,2.6
WR,Dante Pettis,3000,SF,0.0,0.1
WR,Gunner Olszewski,3000,NE,1.05,0.8
WR,Jakobi Meyers,3000,NE,0.57,1.0
WR,Matthew Slater,3000,NE,0.0,0.6
WR,Isaiah Zuber,3000,NE,1.57,1.4
TE,Ryan Izzo,3000,NE,2.64,4.0
WR,Seth Roberts,3000,CAR,1.78,2.1
WR,Pharoh Cooper,3000,CAR,0.37,0.6
WR,Brandon Zylstra,3000,CAR,0.0,0.7
WR,Keith Kirkwood,3000,CAR,2.3,3.8
WR,Deonte Harris,3000,NO,3.88,1.1
WR,Marquez Callaway,3000,NO,2.5,1.5
TE,Ian Thomas,3000,CAR,2.65,4.8
WR,Jeff Smith,3000,NYJ,7.4,6.4
WR,Vyncint Smith,3000,NYJ,0.0,0.1
WR,Denzel Mims,3000,NYJ,0.0,4.6
WR,Josh Malone,3000,NYJ,1.7,0.2
WR,Isaiah McKenzie,3000,BUF,4.9,2.9
WR,Andre Roberts,3000,BUF,0.48,1.5
TE,Chris Herndon,3000,NYJ,4.36,4.3
WR,Quintez Cephus,3000,DET,3.92,0.6
WR,Marvin Hall,3000,DET,2.94,2.3
WR,Jamal Agnew,3000,DET,2.04,1.7
WR,Olamide Zaccheaus,3000,ATL,4.83,4.4
WR,Christian Blake,3000,ATL,1.53,2.5
WR,Brandon Powell,3000,ATL,0.95,1.0
WR,Rashard Higgins,3000,CLE,5.58,3.6
WR,Donovan Peoples-Jones,3000,CLE,0.0,1.2
WR,Taywan Taylor,3000,CLE,0.0,0.9
WR,KhaDarel Hodge,3000,CLE,2.7,0.1
WR,Mike Thomas,3000,CIN,3.98,3.4
WR,Auden Tate,3000,CIN,2.4,2.2
WR,Alex Erickson,3000,CIN,0.43,1.1
TE,David Njoku,3000,CLE,5.77,4.5
WR,Equanimeous St Brown,3000,GB,0.0,4.4
WR,Malik Taylor,3000,GB,0.6,2.9
WR,Darrius Shepherd,3000,GB,2.23,3.0
WR,Kenny Stills,3000,HOU,4.07,4.9
WR,DeAndre Carter,3000,HOU,0.13,0.4
WR,Keke Coutee,3000,HOU,2.1,0.1
WR,Isaiah Wright,3000,WAS,4.36,5.9
WR,Antonio Gandy-Golden,3000,WAS,0.7,2.2
WR,Cam Sims,3000,WAS,2.15,5.4
WR,Noah Brown,3000,DAL,3.7,1.8
WR,Malik Turner,3000,DAL,0.0,0.1
DST,Cowboys ,3000,DAL,1.17,6.6
WR,Freddie Swain,3000,SEA,4.54,3.7
WR,KeeSean Johnson,3000,ARI,2.95,1.0
WR,Trent Sherfield,3000,ARI,0.27,0.6
WR,Byron Pringle,3000,KC,1.98,3.1
WR,DaeSean Hamilton,3000,DEN,1.24,3.8
WR,Diontae Spencer,3000,DEN,0.52,1.6
WR,Tyrie Cleveland,3000,DEN,0.42,0.6
WR,Justin Watson,3000,TB,5.47,1.7
WR,Jaydon Mickens,3000,TB,0.7,0.2
WR,Bryan Edwards,3000,LV,4.97,2.9
WR,Zay Jones,3000,LV,4.62,3.0
WR,Rico Gafford,3000,LV,0.0,0.2
WR,Chris Conley,3000,JAX,5.6,4.7
WR,Collin Johnson,3000,JAX,3.14,2.3
WR,Dede Westbrook,3000,JAX,1.4,0.1
WR,Jason Moore,3000,LAC,0.0,0.3
WR,KJ Hill,3000,LAC,0.86,2.2
WR,Tyron Johnson,3000,LAC,6.5,3.0
WR,Joe Reed,3000,LAC,0.27,0.1
TE,Tyler Eifert,3000,JAX,4.38,5.5
WR,Deon Cain,3000,PIT,0.0,1.0
WR,Nick Westbrook-Ikhine,3000,TEN,0.92,1.2
TE,Anthony Firkser,3000,TEN,8.84,7.0
DST,Panthers ,2900,CAR,3.83,4.7
TE,Will Dissly,2900,SEA,3.92,3.9
DST,Broncos ,2900,DEN,6.6,4.6
DST,Browns ,2800,CLE,6.17,7.2
DST,Bengals ,2800,CIN,3.33,6.1
TE,Darrell Daniels,2700,ARI,1.87,2.2
DST,Seahawks ,2700,SEA,6.4,6.2
TE,Jake Butt,2700,DEN,0.62,1.5
TE,Cameron Brate,2700,TB,3.0,4.1
TE,Dan Arnold,2600,ARI,3.12,4.2
TE,Nick Vannett,2600,DEN,0.95,2.3
TE,James O'Shaughnessy,2600,JAX,3.92,4.9
DST,Jaguars ,2600,JAX,2.17,5.6
TE,Vance McDonald,2600,PIT,2.62,3.1
TE,Ross Dwelley,2500,SF,2.08,1.4
TE,Charlie Woerner,2500,SF,0.0,1.3
TE,Daniel Helm,2500,SF,0.0,1.3
TE,Jordan Reed,2500,SF,10.5,4.5
TE,Devin Asiasi,2500,NE,0.0,1.4
TE,Adam Trautman,2500,NO,1.6,1.6
TE,Chris Manhertz,2500,CAR,1.5,2.4
TE,Josh Hill,2500,NO,1.08,2.4
TE,Trevon Wesco,2500,NYJ,0.3,1.3
TE,Lee Smith,2500,BUF,7.1,1.7
TE,Tommy Sweeney,2500,BUF,0.0,0.1
TE,Reggie Gilliam,2500,BUF,1.78,0.9
TE,Reggie Gilliam,2500,BUF,1.78,0.2
TE,Jesse James,2500,DET,4.3,3.6
TE,Luke Stocker,2500,ATL,0.56,1.7
TE,Jaeden Graham,2500,ATL,0.34,1.5
TE,Harrison Bryant,2500,CLE,3.5,3.4
TE,Stephen Carlson,2500,CLE,0.4,0.5
TE,Cethan Carter,2500,CIN,0.75,0.5
TE,Cethan Carter,2500,CIN,0.75,1.8
TE,Mason Schreck,2500,CIN,0.0,1.3
TE,Jace Sternberger,2500,GB,1.65,2.1
TE,Marcedes Lewis,2500,GB,2.55,2.6
TE,John Lovett,2500,GB,0.0,0.4
TE,John Lovett,2500,GB,0.0,0.0
TE,Pharaoh Brown,2500,HOU,1.55,2.6
TE,Kahale Warring,2500,HOU,0.0,2.1
TE,Marcus Baugh,2500,WAS,0.3,0.6
TE,Jeremy Sprinkle,2500,WAS,0.0,1.2
TE,Temarrick Hemingway,2500,WAS,2.0,1.9
TE,Blake Bell,2500,DAL,2.02,1.9
TE,Sean McKeon,2500,DAL,0.0,1.0
TE,Jacob Hollister,2500,SEA,3.67,2.1
TE,Luke Willson,2500,SEA,0.0,0.8
TE,Jordan Thomas,2500,ARI,2.43,1.4
TE,Maxx Williams,2500,ARI,0.0,2.3
TE,Nick Keizer,2500,KC,0.24,1.4
TE,Deon Yelder,2500,KC,0.75,0.9
TE,Ricky Seals-Jones,2500,KC,0.0,1.4
TE,Albert Okwuegbunam,2500,DEN,6.5,3.2
TE,Andrew Beck,2500,DEN,0.0,0.1
TE,Andrew Beck,2500,DEN,0.0,1.1
TE,Tanner Hudson,2500,TB,0.48,1.9
TE,Antony Auclair,2500,TB,0.0,1.0
TE,Jason Witten,2500,LV,2.98,3.0
TE,Foster Moreau,2500,LV,4.1,2.3
TE,Derek Carrier,2500,LV,0.0,1.0
TE,Virgil Green,2500,LAC,0.88,3.3
TE,Stephen Anderson,2500,LAC,0.0,0.0
TE,Donald Parham Jr,2500,LAC,4.45,2.1
TE,Zach Gentry,2500,PIT,0.0,1.1
TE,Geoff Swaim,2500,TEN,1.5,2.0
TE,MyCole Pruitt,2500,TEN,3.57,1.8
DST,Titans ,2500,TEN,4.2,5.5
DST,Falcons ,2400,ATL,2.33,5.8
DST,Raiders ,2400,LV,1.8,5.0
DST,Cardinals ,2300,ARI,7.0,6.4
DST,Lions ,2200,DET,2.2,5.7
DST,Texans ,2200,HOU,3.33,4.8
DST,Jets ,2000,NYJ,4.5,6.0
