Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
WR,DeAndre Hopkins,8200,ARI,21.35,21.3
QB,Russell Wilson,8000,SEA,31.88,23.8
RB,Alvin Kamara,7900,NO,30.12,23.6
WR,Davante Adams,7900,GB,21.1,21.6
RB,Ezekiel Elliott,7800,DAL,21.28,19.6
QB,Josh Allen,7700,BUF,27.79,22.2
WR,Michael Thomas,7600,NO,4.7,16.9
RB,Derrick Henry,7500,TEN,24.04,18.5
QB,Patrick Mahomes,7400,KC,28.08,22.0
WR,Calvin Ridley,7300,ATL,22.17,18.3
RB,Aaron Jones,7200,GB,23.6,20.9
WR,DK Metcalf,7200,SEA,21.32,17.7
WR,Julio Jones,7100,ATL,19.0,18.0
QB,Kyler Murray,7100,ARI,28.08,23.1
WR,Stefon Diggs,7000,BUF,20.75,18.6
QB,Aaron Rodgers,7000,GB,23.17,20.1
WR,Amari Cooper,6900,DAL,19.35,15.9
RB,Kareem Hunt,6800,CLE,15.95,19.5
QB,Deshaun Watson,6800,HOU,24.06,20.9
WR,Will Fuller V,6800,HOU,17.75,16.6
QB,Matt Ryan,6700,ATL,20.64,19.2
WR,Kenny Golladay,6700,DET,17.13,17.8
RB,James Conner,6700,PIT,18.04,16.9
RB,Mike Davis,6600,CAR,17.18,19.3
WR,Tyler Lockett,6600,SEA,18.24,17.4
QB,Tom Brady,6600,TB,20.37,19.1
QB,Ben Roethlisberger,6600,PIT,19.16,17.5
RB,Raheem Mostert,6500,SF,17.08,2.4
TE,George Kittle,6500,SF,21.92,14.5
QB,Matthew Stafford,6500,DET,17.9,19.3
WR,CeeDee Lamb,6500,DAL,17.5,14.1
RB,Chris Carson,6400,SEA,19.98,17.3
WR,Tyreek Hill,6400,KC,16.47,17.1
WR,Chris Godwin,6400,TB,13.7,16.4
QB,Justin Herbert,6400,LAC,24.32,19.8
QB,Cam Newton,6300,NE,24.24,19.6
RB,Joe Mixon,6300,CIN,17.27,17.7
TE,Travis Kelce,6300,KC,19.33,17.2
RB,Josh Jacobs,6300,LV,18.5,15.8
WR,Mike Evans,6300,TB,15.52,15.7
WR,AJ Brown,6300,TEN,17.63,15.3
RB,James Robinson,6200,JAX,17.65,15.7
WR,Keenan Allen,6200,LAC,16.72,17.7
QB,Ryan Tannehill,6200,TEN,25.3,17.7
QB,Drew Brees,6100,NO,19.61,17.5
WR,Odell Beckham Jr,6100,CLE,14.47,15.3
RB,Clyde Edwards-Helaire,6100,KC,16.87,15.2
TE,Darren Waller,6100,LV,15.5,15.2
WR,Robby Anderson,6000,CAR,18.82,16.7
QB,Andy Dalton,6000,DAL,5.49,16.3
WR,Jamison Crowder,5900,NYJ,22.08,15.8
RB,Jerick McKinnon,5800,SF,12.3,14.7
QB,Teddy Bridgewater,5800,CAR,18.52,16.3
RB,Devin Singletary,5800,BUF,10.75,13.5
WR,Terry McLaurin,5800,WAS,16.17,16.9
WR,Chase Claypool,5700,PIT,18.32,14.0
WR,DJ Moore,5600,CAR,13.9,14.8
QB,Baker Mayfield,5600,CLE,13.58,15.5
RB,Tony Pollard,5600,DAL,4.83,5.1
QB,Joe Burrow,5500,CIN,19.23,17.6
WR,DJ Chark Jr,5500,JAX,13.9,14.2
WR,JuJu Smith-Schuster,5500,PIT,12.48,11.0
RB,D'Andre Swift,5400,DET,14.38,13.1
WR,Tyler Boyd,5400,CIN,15.08,15.8
QB,Derek Carr,5400,LV,21.22,16.0
QB,Jimmy Garoppolo,5300,SF,14.28,14.2
WR,Tee Higgins,5300,CIN,12.07,14.4
RB,David Johnson,5300,HOU,12.82,15.4
RB,Phillip Lindsay,5300,DEN,8.8,10.1
WR,Brandin Cooks,5200,HOU,13.12,14.1
QB,Kyle Allen,5200,WAS,13.83,14.2
WR,Emmanuel Sanders,5100,NO,14.28,10.7
WR,John Brown,5100,BUF,9.08,11.8
QB,Drew Lock,5100,DEN,6.13,12.4
WR,Jerry Jeudy,5100,DEN,9.92,10.9
RB,Joshua Kelley,5100,LAC,8.32,8.7
QB,Jarrett Stidham,5000,NE,4.7,0.8
QB,CJ Beathard,5000,SF,6.14,0.8
WR,Deebo Samuel,5000,SF,9.9,13.7
WR,Julian Edelman,5000,NE,11.38,12.9
QB,Sam Darnold,5000,NYJ,14.34,8.7
TE,TJ Hockenson,5000,DET,11.34,10.2
QB,Alex Smith,5000,WAS,1.58,1.0
RB,Antonio Gibson,5000,WAS,12.5,14.5
RB,James White,4900,NE,12.13,11.2
WR,Cole Beasley,4900,BUF,13.13,11.0
RB,Chase Edmonds,4900,ARI,10.38,8.8
WR,Christian Kirk,4900,ARI,11.06,12.8
RB,Justin Jackson,4900,LAC,6.3,12.5
RB,Latavius Murray,4800,NO,9.32,8.4
QB,Joe Flacco,4800,NYJ,6.96,9.1
RB,Kenyan Drake,4800,ARI,13.83,13.5
QB,Brett Rypien,4800,DEN,7.65,0.9
TE,Noah Fant,4800,DEN,13.72,9.4
WR,Corey Davis,4800,TEN,14.87,9.4
DST,Bills ,4700,BUF,3.33,7.9
QB,Matt Schaub,4700,ATL,0.0,1.0
QB,AJ McCarron,4700,HOU,0.0,0.5
WR,Keelan Cole,4700,JAX,14.07,9.9
WR,Mike Williams,4700,LAC,11.98,12.0
TE,Jonnu Smith,4700,TEN,14.48,8.6
RB,Adrian Peterson,4600,DET,10.08,9.8
WR,Jarvis Landry,4600,CLE,10.23,12.0
TE,Robert Tonyan,4600,GB,13.16,10.2
RB,JD McKissic,4600,WAS,8.38,9.7
WR,Michael Gallup,4600,DAL,10.85,10.2
WR,Sammy Watkins,4600,KC,10.9,11.5
WR,Tim Patrick,4600,DEN,13.8,11.7
RB,Leonard Fournette,4600,TB,12.57,5.6
TE,Rob Gronkowski,4600,TB,7.47,10.0
WR,Adam Humphries,4600,TEN,13.25,8.8
RB,Damien Harris,4500,NE,8.65,9.1
QB,Ryan Finley,4500,CIN,0.0,0.8
RB,Giovani Bernard,4500,CIN,6.32,5.1
WR,Mecole Hardman,4500,KC,7.78,7.2
QB,Mike Glennon,4500,JAX,0.0,0.4
WR,Laviska Shenault Jr,4500,JAX,10.9,11.8
TE,Hunter Henry,4500,LAC,10.96,13.0
QB,Jameis Winston,4400,NO,0.0,0.9
WR,Marvin Jones Jr,4400,DET,6.92,9.9
WR,Russell Gage,4400,ATL,10.45,8.8
TE,Hayden Hurst,4400,ATL,9.95,8.7
RB,Le'Veon Bell,4400,KC,7.15,8.0
TE,Jared Cook,4300,NO,9.9,9.8
RB,Frank Gore,4300,NYJ,5.75,7.3
WR,AJ Green,4300,CIN,7.25,10.6
WR,Randall Cobb,4300,HOU,10.28,9.0
DST,Chiefs ,4300,KC,6.83,7.6
QB,Marcus Mariota,4300,LV,0.0,0.7
RB,JaMycal Hasty,4200,SF,2.17,5.0
RB,Zack Moss,4200,BUF,5.47,6.1
QB,Chase Daniel,4200,DET,0.0,0.8
QB,Tim Boyle,4200,GB,-0.1,0.5
WR,Larry Fitzgerald,4200,ARI,5.92,7.7
WR,Hunter Renfrow,4200,LV,9.42,9.9
WR,Diontae Johnson,4200,PIT,8.9,12.2
WR,Brandon Aiyuk,4100,SF,11.08,9.1
QB,Taysom Hill,4100,NO,3.28,1.9
QB,Taysom Hill,4100,NO,3.28,2.1
QB,Case Keenum,4100,CLE,1.84,0.6
WR,Marquez Valdes-Scantling,4100,GB,9.04,10.2
TE,Darren Fells,4100,HOU,8.75,7.8
QB,Ben DiNucci,4100,DAL,0.0,1.6
QB,Geno Smith,4100,SEA,0.0,0.7
QB,Blaine Gabbert,4100,TB,0.2,0.8
QB,Tyrod Taylor,4100,LAC,9.02,0.8
QB,Mason Rudolph,4100,PIT,-0.06,0.7
QB,Logan Woodside,4100,TEN,0.0,0.7
WR,James Washington,4100,PIT,9.5,7.6
QB,Nick Mullens,4000,SF,10.45,1.0
RB,Jeff Wilson Jr,4000,SF,5.56,4.6
RB,Kyle Juszczyk,4000,SF,3.55,3.4
