,Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
112,RB,Antonio Gibson,4500,WAS,10.87,10.8
113,QB,Blaine Gabbert,4500,TB,0.0,0.8
114,WR,Preston Williams,4500,MIA,6.8,10.4
115,WR,Tee Higgins,4500,CIN,9.17,9.7
116,WR,Keelan Cole,4500,JAX,13.93,11.0
117,WR,Brandin Cooks,4500,HOU,7.93,12.2
118,WR,Zach Pascal,4400,IND,6.7,8.8
119,WR,Larry Fitzgerald,4400,ARI,6.8,8.4
120,WR,Christian Kirk,4400,ARI,4.5,8.3
121,QB,Alex Smith,4400,WAS,0.0,0.5
122,QB,Geno Smith,4400,SEA,0.0,0.7
123,QB,Ryan Finley,4400,CIN,0.0,0.8
124,RB,Giovani Bernard,4400,CIN,7.6,6.6
125,WR,Laviska Shenault Jr,4400,JAX,10.77,10.4
126,QB,John Wolford,4400,LAR,0.0,0.9
127,RB,Dion Lewis,4400,NYG,5.9,5.9
128,TE,Evan Engram,4400,NYG,6.87,10.3
129,QB,Jake Fromm,4400,BUF,0.0,0.1
130,WR,Sammy Watkins,4400,KC,12.27,10.5
131,RB,D'Andre Swift,4300,DET,8.8,8.0
132,QB,Robert Griffin III,4300,BAL,0.26,0.8
133,QB,Mike Glennon,4300,JAX,0.0,0.8
134,TE,Dalton Schultz,4300,DAL,11.23,7.9
135,QB,Sean Mannion,4300,MIN,0.0,0.4
136,RB,Zack Moss,4300,BUF,7.7,6.6
137,RB,Jalen Richard,4300,LV,5.43,4.7
138,WR,Mecole Hardman,4300,KC,9.0,7.0
139,RB,Ryan Nall,4200,CHI,0.4,2.0
140,RB,Chase Edmonds,4200,ARI,7.73,6.4
141,QB,Andy Dalton,4200,DAL,0.0,0.9
142,QB,Taysom Hill,4100,NO,2.24,1.9
143,QB,Taysom Hill,4100,NO,2.24,5.2
144,QB,Chris Streveler,4100,ARI,0.1,0.9
145,QB,Kyle Allen,4100,WAS,0.0,0.6
146,WR,Scotty Miller,4100,TB,9.13,9.8
147,RB,Jordan Howard,4100,MIA,6.4,3.7
148,TE,Greg Olsen,4100,SEA,7.83,7.0
149,RB,Chris Thompson,4100,JAX,7.7,6.4
150,RB,Chris Thompson,4100,JAX,7.7,0.2
151,RB,Tony Pollard,4100,DAL,2.53,3.8
152,QB,Colt McCoy,4100,NYG,0.0,0.6
153,WR,Josh Reynolds,4100,LAR,5.67,6.4
154,QB,Brian Hoyer,4100,NE,0.0,0.8
155,QB,Chad Henne,4100,KC,0.0,0.8
156,RB,Dwayne Washington,4000,NO,0.0,0.7
157,RB,Michael Burton,4000,NO,0.0,0.6
158,RB,Kerryon Johnson,4000,DET,4.87,5.5
159,RB,Ty Johnson,4000,DET,0.0,0.1
160,RB,Bo Scarbrough,4000,DET,0.0,0.5
161,WR,Danny Amendola,4000,DET,6.67,9.1
162,QB,Jacob Eason,4000,IND,0.0,0.2
163,RB,Jordan Wilkins,4000,IND,3.17,3.9
164,RB,Reggie Bonnafon,4000,CAR,1.6,4.4
165,RB,Trenton Cannon,4000,CAR,0.0,2.3
166,RB,Alex Armah,4000,CAR,0.83,1.9
167,RB,Eno Benjamin,4000,ARI,0.0,1.9
168,RB,Gus Edwards,4000,BAL,4.3,4.8
169,RB,Justice Hill,4000,BAL,0.0,0.7
170,RB,Patrick Ricard,4000,BAL,2.63,1.8
171,RB,JD McKissic,4000,WAS,4.8,6.5
172,RB,Peyton Barber,4000,WAS,5.2,3.0
173,WR,Willie Snead IV,4000,BAL,7.9,6.2
174,WR,Miles Boykin,4000,BAL,5.43,6.6
175,DST,Ravens ,4000,BAL,12.33,8.8
176,QB,Ryan Griffin,4000,TB,0.0,3.2
177,QB,Easton Stick,4000,LAC,0.0,0.8
178,RB,LeSean McCoy,4000,TB,4.23,6.1
179,RB,Ke'Shawn Vaughn,4000,TB,0.0,2.6
180,RB,Kenjon Barner,4000,TB,0.0,0.0
181,RB,Justin Jackson,4000,LAC,0.4,1.5
182,RB,Gabe Nabers,4000,LAC,0.0,0.3
183,RB,Travis Homer,4000,SEA,2.1,3.2
184,RB,DeeJay Dallas,4000,SEA,0.0,1.9
185,RB,Nick Bellore,4000,SEA,0.0,0.5
186,RB,Matt Breida,4000,MIA,2.5,3.8
187,RB,Patrick Laird,4000,MIA,0.97,1.7
188,RB,Malcolm Perry,4000,MIA,0.0,2.4
189,RB,Chandler Cox,4000,MIA,0.0,0.5
190,QB,Jake Luton,4000,JAX,0.0,0.8
191,RB,Dare Ogunbowale,4000,JAX,0.0,1.5
192,RB,Devine Ozigbo,4000,JAX,0.0,5.3
193,RB,Bruce Miller,4000,JAX,0.4,0.9
194,RB,Samaje Perine,4000,CIN,0.0,0.8
195,RB,Trayveon Williams,4000,CIN,0.0,0.9
196,RB,Rico Dowdle,4000,DAL,0.0,0.8
197,RB,D'Ernest Johnson,4000,CLE,0.17,0.6
198,RB,Andy Janovich,4000,CLE,1.1,1.9
199,TE,Austin Hooper,4000,CLE,4.4,8.7
200,RB,Alexander Mattison,4000,MIN,5.77,6.0
201,RB,Ameer Abdullah,4000,MIN,0.0,0.7
202,RB,Mike Boone,4000,MIN,0.0,1.0
203,RB,CJ Ham,4000,MIN,0.83,2.0
204,RB,Buddy Howell,4000,HOU,0.0,0.4
205,RB,CJ Prosise,4000,HOU,0.05,2.4
206,RB,Cullen Gillaspia,4000,HOU,0.8,0.9
207,RB,Elijhaa Penny,4000,NYG,0.0,0.6
208,RB,Xavier Jones,4000,LAR,0.0,0.7
209,RB,Raymond Calais,4000,LAR,0.0,0.1
210,RB,Devontae Booker,4000,LV,4.27,3.2
211,RB,Alec Ingold,4000,LV,3.53,1.6
212,RB,TJ Yeldon,4000,BUF,1.8,2.6
213,RB,Taiwan Jones,4000,BUF,0.0,0.3
214,RB,Damien Harris,4000,NE,0.0,3.5
215,RB,JJ Taylor,4000,NE,2.8,2.9
216,RB,Jakob Johnson,4000,NE,2.9,1.6
217,RB,Jakob Johnson,4000,NE,2.9,0.8
218,RB,Darrel Williams,4000,KC,3.3,4.5
219,RB,Darwin Thompson,4000,KC,0.73,2.8
220,RB,Anthony Sherman,4000,KC,2.57,1.0
221,WR,N'Keal Harry,4000,NE,9.57,10.3
222,TE,Mo Alie-Cox,3900,IND,12.37,7.1
223,DST,Rams ,3900,LAR,5.0,8.6
224,WR,Demarcus Robinson,3900,KC,3.6,5.1
225,TE,Jimmy Graham,3800,CHI,12.77,8.4
226,WR,Cordarrelle Patterson,3700,CHI,3.57,6.9
227,WR,Cordarrelle Patterson,3700,CHI,3.57,6.0
